price_usd,mean_rating,n
4.0,4.467741935483871,62
4.2,4.48936170212766,47
4.5,4.110169491525424,118
5.0,4.956521739130435,92
5.5,4.62280701754386,114
6.0,3.4893617021276597,47
6.5,4.378854625550661,227
7.0,5.0,47
7.5,2.693548387096774,62
