price_usd,willingness_to_purchase
4.0,4.467741935483871
4.2,4.48936170212766
4.5,4.110169491525424
5.0,4.956521739130435
5.5,4.62280701754386
6.0,3.4893617021276597
6.5,4.378854625550661
7.0,5.0
7.5,2.693548387096774
