segment,n,price_coef,r2
Mixed,327,0.011161436428341026,0.33449814191398963
Premium-first,270,0.015804231455520255,0.7764231387532717
Basic-first,150,-0.32386831275719974,0.6166057207263371
Low-interest all,63,-0.145593869731801,0.015383872381843688
