alt,price_usd,mean_rating,n
Basic,4.0,4.467741935483871,62
Basic,4.2,4.48936170212766,47
Basic,4.5,4.426229508196721,61
Basic,5.0,3.9347826086956523,46
Basic,5.5,4.12280701754386,57
Lab,4.5,3.7719298245614037,57
Lab,6.0,3.4893617021276597,47
Lab,6.5,3.257142857142857,105
Lab,7.5,2.693548387096774,62
Premium,5.0,5.978260869565218,46
Premium,5.5,5.12280701754386,57
Premium,6.5,5.344262295081967,122
Premium,7.0,5.0,47
