alt,price_level,mean,count
Basic,1,4.477064220183486,109
Basic,2,4.211538461538462,104
Basic,3,4.12280701754386,57
Lab,2,3.644230769230769,104
Lab,3,3.0421686746987953,166
Premium,2,5.518867924528302,106
Premium,3,5.225609756097561,164
