alt,price_level,willingness_to_purchase
Basic,1,4.477064220183486
Basic,2,4.211538461538462
Basic,3,4.12280701754386
Lab,2,3.644230769230769
Lab,3,3.0421686746987953
Premium,2,5.518867924528302
Premium,3,5.225609756097561
