segment,n_profiles,coef_price,coef_taste,coef_nutrition,coef_sustain,coef_alt_premium,coef_alt_Basic,r2
Mixed,327,0.0092192300576514,0.1137715373364047,0.4930679132244869,0.9520024038636331,0.5257965370906797,,0.3440515482572025
Premium-first,270,0.026293745101083565,-0.18289049791800455,0.07603240726057046,0.08821066176123381,1.9452705572165754,,0.777845859169896
Basic-first,150,-0.30394796674028696,0.35191227101468375,-0.49657983629985736,-0.24349026522392875,-1.811420446741778,,0.6266078174109292
Low-interest all,63,-0.15869256276646165,0.7598294647086687,0.2605400284225462,-0.04217944875723739,-0.626742975731269,,0.1089181946874146
