Tuna,Source,sum_sq,df,F,PR(>F)
Lab,Intercept,24.847250217757562,1.0,7.559968644028955,0.006448525576905169
Lab,C(Category),137.63759158536254,2.0,20.938652516996942,4.513767234287654e-09
Lab,C(PriceLvl_Lab),48.8169860763749,2.0,7.426473368261092,0.0007513681784371675
Lab,C(NutriLvl_Lab),32.070229336464585,2.0,4.8788080384287005,0.008422393227340508
Lab,C(TasteLvl_Lab),32.45262895735437,2.0,4.936982064087068,0.007965591879171768
Lab,C(Age),43.9782743520474,7.0,1.911533022229972,0.07990822169858763
Lab,C(Gender),42.408961359120795,4.0,3.2258138756905423,0.023356878752632693
Lab,C(Education),25.617970673529175,4.0,1.9486165804890874,0.122578256098044
Lab,C(Marital),9.748762970469679,5.0,0.593227352957954,0.6678814966100062
Lab,C(HouseholdSize),9.728477591807032,5.0,0.5919929561914881,0.668770707082393
Lab,C(Income),30.249512104608126,7.0,1.3148069619883065,0.25137585914767463
Lab,C(Employment),23.958652326877782,7.0,1.0413722631393274,0.3992382747159956
Lab,C(Urban_Rural),8.800091443126997,3.0,0.8924986975967507,0.411063351245157
Lab,Residual,746.0779356387717,227.0,,
