term,coef,std_err,t,p,ci_low,ci_high
Intercept,2.524905254913813,0.5944965967625033,4.247131554097849,2.165248329679833e-05,,
C(Category)[T.Supportive but Inactive],-0.3152003986165518,0.36245247314061635,-0.869632357272583,0.3845013489927994,,
C(Category)[T.Truly Green],-0.5522348999086071,0.37665118946301646,-1.466170598574019,0.14260181630456725,,
C(PriceLvl)[T.Mid],1.2521327490261365,0.3155583254740361,3.9679914866615076,7.248092250749816e-05,,
C(PriceLvl)[T.High],1.2727725058876773,0.3365649277342376,3.7816551904442615,0.00015578905309651133,,
C(NutriLvl)[T.Mid],1.492555503257897,0.3292881879202697,4.532672467496126,5.82420877432635e-06,,
C(NutriLvl)[T.High],1.0323497516559197,0.3272497754092784,3.1546232548664106,0.0016070548054774498,,
C(TasteLvl)[T.Mid],-0.007481476228927808,0.325358225324431,-0.02299458150003017,0.9816545951444307,,
C(TasteLvl)[T.High],0.6783764994859529,0.32912849174769815,2.0611296697035266,0.03929067094027305,,
C(Age)[T.2],-0.9882519021351932,0.5892283531699489,-1.6771967893577509,0.0935040066788023,,
C(Age)[T.3],-0.8315281502523582,0.5949622768347412,-1.3976149121187498,0.16222873788937708,,
C(Age)[T.4],-0.40010872024254196,0.674907424264081,-0.5928349664827298,0.553291604324477,,
C(Age)[T.5],-0.4824075094896254,0.6951273220403277,-0.6939843884623466,0.4876919993594774,,
C(Age)[T.6],-0.6865302244318128,0.9915726553095253,-0.6923650231333863,0.4887081253058587,,
C(Age)[T.7],-0.6356188561900518,1.4113036949378797,-0.4503770935128384,0.6524385588935253,,
C(Age)[T.What is your age?],-1.0357867100866195e-15,1.0743367590653842e-15,-0.9641173508646383,0.33498709466942245,,
C(Gender)[T.2],0.23844475576813684,0.2697861924609909,0.8838286110680561,0.3767887390341491,,
C(Gender)[T.3],-1.7690996215481802,1.0086986930395498,-1.7538434755152559,0.07945733123605934,,
C(Gender)[T.4],-2.829703822525661,2.2741827537165933,-1.2442728351101973,0.21339916530342184,,
C(Gender)[T.What is your gender?],-6.144356884540633e-17,4.7931787372377e-16,-0.12818960488174105,0.8979989263016489,,
C(Education)[T.3],0.025721032205219763,0.307313060482173,0.08369651509396822,0.9332977279771079,,
C(Education)[T.4],-0.2894733887915689,0.4184189173388127,-0.6918267238791435,0.4890461520213164,,
C(Education)[T.5],-0.03389454828090854,0.6279962216308883,-0.05397253536475963,0.9569570459411095,,
C(Education)[T.What is the highest level of education you have completed?],9.800182139506963e-16,7.938554962926535e-16,1.2345045395886687,0.21701495618682443,,
C(Marital)[T.2],-0.4623166963288738,0.3317047685805626,-1.3937595721256233,0.16339022014270244,,
C(Marital)[T.3],-0.8879347663010804,0.5146659730698908,-1.725264176694464,0.08447987471939016,,
C(Marital)[T.4],-0.8817449239039057,1.5864315773592477,-0.5558039416812708,0.5783448906229167,,
C(Marital)[T.5],-0.9875922816617877,0.6937575094627118,-1.423541032985199,0.1545793758958701,,
C(Marital)[T.What is your current marital status?],6.3781435741633135e-16,5.004178005723983e-16,1.2745636879558906,0.20246371694349408,,
C(HouseholdSize)[T.2],-0.1396338916723553,0.40481851742304753,-0.3449296058916042,0.7301472926644035,,
C(HouseholdSize)[T.3],-0.13596148374703293,0.4435922736871872,-0.3065010186424265,0.7592232043672248,,
C(HouseholdSize)[T.4],0.3327469778643265,0.4815976350154936,0.69092319743975,0.48961380730206505,,
C(HouseholdSize)[T.5],-0.1691913776322591,0.5417061362394038,-0.3123305539915206,0.7547893219174903,,
"C(HouseholdSize)[T.Including yourself, how many people currently live in your household?]",-5.56232235215272e-16,3.244037404419285e-16,-1.7146295368158468,0.08641316984514845,,
C(Income)[T.2],-0.40085508103626366,1.0602856435924426,-0.3780632921503049,0.705383576657826,,
C(Income)[T.3],0.3168640190658323,1.0607397785210617,0.29871984202159413,0.7651538161949878,,
C(Income)[T.4],0.5160754125625264,1.0745769981508522,0.48025912842969515,0.6310431473215026,,
C(Income)[T.5],0.6648287286469593,1.0702596926291879,0.621184496833426,0.5344782386824853,,
C(Income)[T.6],0.5884165450643776,1.1195957296598364,0.525561619677805,0.5991928293080657,,
C(Income)[T.7],0.036564945631788026,1.1803233656093879,0.03097875268521008,0.9752864844400274,,
C(Income)[T.What is your total household income per year?],-5.064695542053132e-18,1.0607540249901452e-16,-0.04774618264682225,0.9619185276207154,,
C(Employment)[T.2],0.444261945081087,0.3672064247591785,1.2098425167055373,0.22633932818412017,,
C(Employment)[T.3],0.10967582148307142,0.4710404334956056,0.2328373822798263,0.8158876836967331,,
C(Employment)[T.4],0.20187080536083002,0.6701371736034376,0.30123803500608326,0.7632329882781291,,
C(Employment)[T.5],0.394950286232319,0.9643200536273783,0.4095634895765957,0.6821261842274193,,
C(Employment)[T.6],3.0568381882352407,0.6227221117007902,4.908831934498596,9.16204516421782e-07,,
C(Employment)[T.7],2.4515446494949185,0.8437109693056383,2.9056688115747784,0.003664691093790243,,
C(Employment)[T.What is your current job or work status?],0.0,0.0,,,,
C(Urban_Rural)[T.2],-0.3031853018474843,0.29185629336360774,-1.03881707793007,0.2988898172361688,,
C(Urban_Rural)[T.3],0.20654463167195908,0.4205439994738549,0.4911367940818756,0.6233296993923039,,
C(Urban_Rural)[T.Do you live in an urban or rural area?],0.0,0.0,,,,
