term,coef,std_err,t,p,ci_low,ci_high
Intercept,1.4842420451228098,0.5053982352202955,2.936777261352824,0.003316422108612528,,
C(Category)[T.Supportive but Inactive],1.5052392914716106,0.3224001071495838,4.6688548114322606,3.0288332550858063e-06,,
C(Category)[T.Truly Green],2.187345745733227,0.3301592828212368,6.625122659106196,3.46959951654435e-11,,
C(PriceLvl)[T.Mid],1.065327491131372,0.2761702247383573,3.8575030749265586,0.00011455123865369089,,
C(PriceLvl)[T.High],0.4189145539914384,0.30209964076213924,1.3866767697392741,0.16554034725462552,,
C(NutriLvl)[T.Mid],0.5656771264200884,0.283253904465699,1.9970673572430484,0.04581786637966745,,
C(NutriLvl)[T.High],0.9185649187027193,0.2842482876330253,3.2315583194950306,0.0012311719738772628,,
C(TasteLvl)[T.Mid],-0.695611073117866,0.3341036041558449,-2.082022056827,0.03734045507155982,,
C(TasteLvl)[T.High],0.15243405414181094,0.37146708010657437,0.4103568318842074,0.6815442079136607,,
C(Age)[T.2],0.0502726520509138,0.4640787162563684,0.10832785536137789,0.9137356272456101,,
C(Age)[T.3],-0.057985187270136906,0.4818334693640216,-0.12034279674816348,0.9042116035320321,,
C(Age)[T.4],-1.0307436707579567,0.5478110582171184,-1.881567842227518,0.05989471589033982,,
C(Age)[T.5],0.11298505243678758,0.5779190484634747,0.1955032503897964,0.8449989933351024,,
C(Age)[T.6],-0.7721110293195591,1.1887396200592384,-0.6495207329600763,0.5160018498392096,,
C(Age)[T.7],-0.45557610811205307,0.9759544915046442,-0.4668005650649594,0.6406425715400519,,
C(Age)[T.What is your age?],1.1783455970467417e-15,6.897025196772498e-16,1.708483822268991,0.08754660566415187,,
C(Gender)[T.2],-0.2914946713626262,0.272872767487599,-1.0682439073949492,0.2854105035838521,,
C(Gender)[T.3],1.939843290791257,0.6078924488783142,3.1910962117898722,0.0014173407350425815,,
C(Gender)[T.4],1.6710507463243909,0.6783567464101544,2.4633804486614843,0.013763378653907154,,
C(Gender)[T.What is your gender?],3.3202353763131396e-16,4.0722634708114275e-16,0.8153292143574293,0.41488389054539054,,
C(Education)[T.3],-0.09964022917521856,0.3071092440217485,-0.3244455551724205,0.7456007353182874,,
C(Education)[T.4],0.41111794164686144,0.4667332852328079,0.8808412741375294,0.37840373655463866,,
C(Education)[T.5],1.3673829173878784,0.6990517510096864,1.9560539193455668,0.0504588026913186,,
C(Education)[T.What is the highest level of education you have completed?],-7.637992455016907e-16,3.466427287911228e-16,-2.203419203874127,0.027565215893061396,,
C(Marital)[T.2],0.28344436301536247,0.3736206505244831,0.7586421216746652,0.44806666830730746,,
C(Marital)[T.3],0.26376404060067404,0.5770711444836816,0.4570736955435012,0.6476180763547644,,
C(Marital)[T.4],-0.4593812987696475,1.2791592882258407,-0.35912751679800325,0.7194996974035184,,
C(Marital)[T.5],-0.5309571154632989,0.9218086707171075,-0.5759949242506568,0.5646186124027209,,
C(Marital)[T.What is your current marital status?],-3.621238023624049e-18,2.7728254441584167e-16,-0.013059740313812414,0.9895801310329705,,
C(HouseholdSize)[T.2],-0.056036734653032466,0.36859428682959594,-0.15202822359245816,0.8791646751752302,,
C(HouseholdSize)[T.3],-0.441305151475766,0.45033811558118236,-0.9799418175080319,0.32711483945657926,,
C(HouseholdSize)[T.4],-0.019308793169328715,0.5007521971642969,-0.03855957752890997,0.9692415307663679,,
C(HouseholdSize)[T.5],-0.4407281231429936,0.5377853803739524,-0.8195241805132942,0.412487411793256,,
"C(HouseholdSize)[T.Including yourself, how many people currently live in your household?]",2.3827295463620726e-16,2.0785821958801854e-16,1.1463244278165745,0.2516609390980675,,
C(Income)[T.2],-1.4319105897492062,0.8446917875164771,-1.6951870622055436,0.09003994043916279,,
C(Income)[T.3],-0.8892086399862211,0.8481811807418708,-1.04837110298588,0.29446766189551066,,
C(Income)[T.4],-0.8958710118036469,0.8703140076068073,-1.0293652681370904,0.30330806358653994,,
C(Income)[T.5],-0.2981312096948663,0.8644729723947193,-0.3448704808769189,0.7301917435427661,,
C(Income)[T.6],-0.2616212252584004,0.9392825635429861,-0.27853303724872924,0.7806032079433793,,
C(Income)[T.7],-0.5605496408771452,1.004309492448422,-0.5581443221357715,0.5767458371069794,,
C(Income)[T.What is your total household income per year?],1.1835637427685104e-16,9.77141567830659e-17,1.2112510425650267,0.2257992057305459,,
C(Employment)[T.2],-0.19793935889713488,0.3529614272823604,-0.5607960065811619,0.5749366093664983,,
C(Employment)[T.3],0.3090815163682137,0.4657179465708098,0.6636667507534404,0.5069036243840865,,
C(Employment)[T.4],-0.6109953836725713,0.6793078121700127,-0.8994381821118457,0.36841930918513577,,
C(Employment)[T.5],0.41642806270647303,0.8764797208105807,0.4751143156185685,0.6347054953512005,,
C(Employment)[T.6],-2.234498742298647,0.7318379404444497,-3.0532698823206976,0.0022636225868006847,,
C(Employment)[T.7],-0.9372987894066871,0.6492546769118657,-1.4436535041455274,0.14883646649614063,,
C(Employment)[T.What is your current job or work status?],0.0,0.0,,,,
C(Urban_Rural)[T.2],0.13734577207620458,0.2851840232830113,0.4816040200818164,0.6300872698541493,,
C(Urban_Rural)[T.3],0.5115749687961101,0.4641240665455485,1.102237538776509,0.2703584160974565,,
C(Urban_Rural)[T.Do you live in an urban or rural area?],0.0,0.0,,,,
