K,Inertia
1,540.0000000000003
2,271.45106217082787
3,173.51541269106474
4,133.12572132554084
5,107.28399391400272
6,84.8537596963161
7,72.93431421972642
8,64.19937882523008
9,58.26044431615996
10,51.14032613380405
