term,coef,std_err,t,p
Intercept,1.9076337443970184,0.1472428044054918,12.955700973635274,2.1813434318032222e-38
C(Product)[T.Lab],0.029547616818913224,0.07918205484543103,0.3731605207340509,0.7090289773014296
C(Product)[T.Premium],0.4410026548871001,0.05492991516011231,8.02846051375912,9.870336915711604e-16
C(PriceLvl)[T.Mid],-0.001309875446048471,0.1930860117130726,-0.006783896121874207,0.9945872755390192
C(PriceLvl)[T.High],0.6940399263736221,0.3045737694534674,2.278725208736851,0.02268340525097348
C(NutriLvl)[T.Mid],1.266113197209445,0.16838605905391324,7.519109386627224,5.515062942445712e-14
C(NutriLvl)[T.High],0.6415205471875696,0.08433857086234506,7.606490608367559,2.8163868475907173e-14
C(TasteLvl)[T.Mid],0.5744352638091412,0.14287808955799486,4.0204573394437455,5.808526759224754e-05
C(TasteLvl)[T.High],0.3078504623708236,0.10140793846407217,3.035762949464671,0.0023992791451177995
C(HealthLabel)[T.1],-0.5185439498615384,0.34387886771196685,-1.507926187240651,0.13157341949553147
C(Gender)[T.2.0],0.05042324196575937,0.09775044535336427,0.515836442314725,0.6059686477436341
C(Gender)[T.3.0],-0.022574276746219993,0.33771007991824037,-0.06684513755611093,0.9467049891692881
C(Gender)[T.4.0],-0.04248074532619249,0.5310718333399582,-0.0799905825526978,0.9362447460041675
C(Marital)[T.2.0],-0.07770944482530259,0.12509911594152437,-0.6211830054948323,0.5344792198109478
C(Marital)[T.3.0],-0.0662605524785107,0.18729712873206236,-0.35377238790082915,0.7235094682495667
C(Marital)[T.4.0],-0.06454011402944862,0.46030077215597803,-0.140212917147961,0.8884917663168048
C(Marital)[T.5.0],-0.34056757491352435,0.23875096735242035,-1.4264552671353683,0.1537369703996563
C(Employment)[T.2.0],0.11201968664839576,0.13572395899054096,0.8253493891686638,0.4091732594857139
C(Employment)[T.3.0],0.061223059304193236,0.15750567787444525,0.38870382408053156,0.6974952531981528
C(Employment)[T.4.0],0.019339726565733528,0.2488413826002684,0.07771909303686962,0.9380515059963934
C(Employment)[T.5.0],0.13554265495624318,0.26280185343307233,0.5157598897633414,0.6060221199613673
C(Employment)[T.6.0],-0.06062608147417449,0.25928200246757205,-0.23382294527656963,0.8151224355357933
C(Employment)[T.7.0],0.26351300681100687,0.3043929255850559,0.8657001679803297,0.3866546078865616
C(Urban_Rural)[T.2.0],-0.010185055800720343,0.10456077171001071,-0.09740800143449227,0.9224023907224472
C(Urban_Rural)[T.3.0],0.027340030872303817,0.14645758984641172,0.18667541163947168,0.851915135856645
C(Product)[T.Lab]:C(PriceLvl)[T.Mid],0.39144808455989716,0.25668753881745565,1.5249983944030763,0.127259498131828
C(Product)[T.Premium]:C(PriceLvl)[T.Mid],0.2460867131930622,0.321532284191548,0.7653561564177479,0.44405949296776537
C(Product)[T.Lab]:C(PriceLvl)[T.High],-0.3619004677409817,0.24513911217817724,-1.4763065123526167,0.13986162667641744
C(Product)[T.Premium]:C(PriceLvl)[T.High],0.19491594169404206,0.31171148223804224,0.6253088281977118,0.5317683869398511
C(Product)[T.Lab]:C(NutriLvl)[T.Mid],-0.17097027548154559,0.10095410701859607,-1.6935445276144367,0.09035186673991169
C(Product)[T.Premium]:C(NutriLvl)[T.Mid],1.113038111433121e-16,1.1351723203807892e-16,0.9805014546688,0.3268386519337775
C(Product)[T.Lab]:C(NutriLvl)[T.High],0.20051789230046588,0.08066948093053977,2.4856722763980748,0.012930698347584686
C(Product)[T.Premium]:C(NutriLvl)[T.High],0.4410026548871048,0.05492991516011236,8.028460513759198,9.87033691570534e-16
C(Product)[T.Lab]:C(TasteLvl)[T.Mid],-0.8626482088818526,0.15619657022003466,-5.522837074249691,3.335690271147309e-08
