Tuna,df1,df2,F,p,eta2
Lab,2.0,267.0,27.163334261746606,1.827508553158028e-11,0.1690699025173543
Premium,2.0,267.0,6.622812066715389,0.001558899947373737,0.04726433882558773
Basic,2.0,267.0,2.4994674860326733,0.08404883937637267,0.018378509359158864
