Dependent Variable,Urban_Rural,Mean,Std. Deviation,N
Lab_Rating,1,3.236842105263158,1.9924418589769468,76
Lab_Rating,2,3.315436241610738,2.105614272323591,149
Lab_Rating,3,3.227272727272727,2.176658804635453,44
Premium_Rating,1,5.2105263157894735,1.8134004115560305,76
Premium_Rating,2,5.355704697986577,1.6360541915269537,149
Premium_Rating,3,5.4772727272727275,1.7848019415054688,44
Basic_Rating,1,4.394736842105263,1.8552911532042338,76
Basic_Rating,2,4.10738255033557,1.83855458649758,149
Basic_Rating,3,4.818181818181818,1.7819864441413673,44
