Product,PriceUSD,ObservedMeanWTP
Basic,1.0,4.477064220183486
Basic,2.0,4.211538461538462
Basic,3.0,4.12280701754386
Lab,2.0,3.644230769230769
Lab,3.0,3.0421686746987953
Premium,2.0,5.518867924528302
Premium,3.0,5.225609756097561
