Metric,Value
N,268
R2,0.1999248286042764
Adj_R2,0.05894241954776125
F,100.80267417877296
F_p,8.759502129900478e-124
AIC,1110.4275677003661
BIC,1257.6580339013112
Cov_Type,HC3
Formula_Used,Basic_Rating ~ C(Category) + C(PriceLvl) + C(NutriLvl) + C(TasteLvl) + C(Age) + C(Gender) + C(Education) + C(Marital) + C(HouseholdSize) + C(Income) + C(Employment) + C(Urban_Rural)
